UF;COD. UF;COD. MUNIC;MUNICIPIO;POPULAÇÃO ESTIMADA
PR;41;26504;Sertanópolis;16456
RS;43;20503;Sertão;5220
RS;43;20552;Sertão Santana;6586
PB;25;15930;Sertãozinho;5152
SP;35;51702;Sertãozinho;128432
SP;35;51801;Sete Barras;12731
RS;43;20578;Sete de Setembro;1931
MG;31;67202;Sete Lagoas;243950
MS;50;7703;Sete Quedas;10751
MG;31;65552;Setubinha;12493
RS;43;20602;Severiano de Almeida;3607
RN;24;13607;Severiano Melo;1743
SP;35;51900;Severínia;17820
SC;42;17600;Siderópolis;14176
MS;50;7901;Sidrolândia;60792
PI;22;10656;Sigefredo Pacheco;10074
RJ;33;5604;Silva Jardim;21775
GO;52;20603;Silvânia;20938
TO;17;20655;Silvanópolis;5452
RS;43;20651;Silveira Martins;2365
MG;31;67301;Silveirânia;2267
SP;35;52007;Silveiras;6375
AM;13;4005;Silves;9289
MG;31;67400;Silvianópolis;6258
SE;28;7105;Simão Dias;40724
MG;31;67509;Simão Pereira;2621
PI;22;10706;Simões;14664
BA;29;30709;Simões Filho;137117
GO;52;20686;Simolândia;6895
MG;31;67608;Simonésia;19834
PI;22;10805;Simplício Mendes;12778
RS;43;20677;Sinimbu;10152
MT;51;7909;Sinop;148960
PR;41;26603;Siqueira Campos;21476
PE;26;14204;Sirinhaém;46845
SE;28;7204;Siriri;9046
GO;52;20702;Sítio d'Abadia;3040
BA;29;30758;Sítio do Mato;13104
BA;29;30766;Sítio do Quinto;9431
MA;21;11805;Sítio Novo;18237
RN;24;13706;Sítio Novo;5600
TO;17;20804;Sítio Novo do Tocantins;8965
BA;29;30774;Sobradinho;23274
RS;43;20701;Sobradinho;15041
PB;25;15971;Sobrado;7845
CE;23;12908;Sobral;212437
MG;31;67707;Sobrália;5476
SP;35;52106;Socorro;41690
PI;22;10904;Socorro do Piauí;4557
PB;25;16003;Solânea;26051
PB;25;16102;Soledade;15211
RS;43;20800;Soledade;31067
MG;31;67806;Soledade de Minas;6226
PE;26;14402;Solidão;6034
CE;23;13005;Solonópole;18389
SC;42;17709;Sombrio;31084
MS;50;7935;Sonora;20158
ES;32;5010;Sooretama;31278
SP;35;52205;Sorocaba;695328
MT;51;7925;Sorriso;94941
PB;25;16151;Sossêgo;3631
PA;15;7904;Soure;25752
PB;25;16201;Sousa;69997
BA;29;30808;Souto Soares;17118
TO;17;20853;Sucupira;2007
MA;21;11904;Sucupira do Norte;10631
MA;21;11953;Sucupira do Riachão;5692
SP;35;52304;Sud Mennucci;7738
SC;42;17758;Sul Brasil;2386
PR;41;26652;Sulina;2880
SP;35;52403;Sumaré;289875
PB;25;16300;Sumé;17096
RJ;33;5703;Sumidouro;15709
PE;26;14501;Surubim;66192
PI;22;10938;Sussuapara;6801
SP;35;52551;Suzanápolis;4063
SP;35;52502;Suzano;303397
RS;43;20859;Tabaí;4816
MT;51;7941;Tabaporã;9357
SP;35;52601;Tabapuã;12561
AM;13;4062;Tabatinga;68502
SP;35;52700;Tabatinga;16787
PE;26;14600;Tabira;28860
SP;35;52809;Taboão da Serra;297528
TO;17;8254;Tabocão;2615
BA;29;30907;Tabocas do Brejo Velho;12515
RN;24;13805;Taboleiro Grande;2606
MG;31;67905;Tabuleiro;3669
CE;23;13104;Tabuleiro do Norte;32079
PE;26;14709;Tacaimbó;12843
PE;26;14808;Tacaratu;26439
SP;35;52908;Taciba;6371
PB;25;16409;Tacima;11024
MS;50;7950;Tacuru;11795
SP;35;53005;Taguaí;14415
TO;17;20903;Taguatinga;16966
SP;35;53104;Taiaçu;6346
PA;15;7953;Tailândia;111554
SC;42;17808;Taió;18576
MG;31;68002;Taiobeiras;34653
TO;17;20937;Taipas do Tocantins;2183
RN;24;13904;Taipu;12314
SP;35;53203;Taiúva;5562
TO;17;20978;Talismã;2831
PE;26;14857;Tamandaré;23852
PR;41;26678;Tamarana;15277
SP;35;53302;Tambaú;23255
PR;41;26702;Tamboara;5196
CE;23;13203;Tamboril;26199
PI;22;10953;Tamboril do Piauí;2939
SP;35;53401;Tanabi;26231
RN;24;14001;Tangará;16008
SC;42;17907;Tangará;8648
MT;51;7958;Tangará da Serra;107631
RJ;33;5752;Tanguá;34898
BA;29;31004;Tanhaçu;20383
AL;27;9004;Tanque d'Arca;6115
PI;22;10979;Tanque do Piauí;2781
BA;29;31053;Tanque Novo;17518
BA;29;31103;Tanquinho;7936
MG;31;68051;Taparuba;3093
AM;13;4104;Tapauá;16876
PR;41;26801;Tapejara;16480
RS;43;20909;Tapejara;24973
RS;43;21006;Tapera;10569
BA;29;31202;Taperoá;21421
PB;25;16508;Taperoá;15505
RS;43;21105;Tapes;17363
MG;31;68101;Tapira;4890
PR;41;26900;Tapira;5452
MG;31;68200;Tapiraí;1869
SP;35;53500;Tapiraí;7725
BA;29;31301;Tapiramutá;16939
SP;35;53609;Tapiratiba;12940
MT;51;8006;Tapurah;14380
RS;43;21204;Taquara;57740
MG;31;68309;Taquaraçu de Minas;4120
SP;35;53658;Taquaral;2815
GO;52;21007;Taquaral de Goiás;3506
AL;27;9103;Taquarana;20162
RS;43;21303;Taquari;26907
SP;35;53708;Taquaritinga;57547
PE;26;15003;Taquaritinga do Norte;29472
SP;35;53807;Taquarituba;23292
SP;35;53856;Taquarivaí;5968
RS;43;21329;Taquaruçu do Sul;3081
MS;50;7976;Taquarussu;3588
SP;35;53906;Tarabai;7609
AC;12;609;Tarauacá;43730
CE;23;13252;Tarrafas;8555
AP;16;709;Tartarugalzinho;18217
SP;35;53955;Tarumã;15361
MG;31;68408;Tarumirim;14280
MA;21;12001;Tasso Fragoso;8642
SP;35;54003;Tatuí;124134
CE;23;13302;Tauá;59259
SP;35;54102;Taubaté;320820
PB;25;16607;Tavares;14791
RS;43;21352;Tavares;5484
AM;13;4203;Tefé;59250
PB;25;16706;Teixeira;15333
BA;29;31350;Teixeira de Freitas;164290
PR;41;27007;Teixeira Soares;12761
MG;31;68507;Teixeiras;11680
RO;11;1559;Teixeirópolis;4160
CE;23;13351;Tejuçuoca;19551
SP;35;54201;Tejupá;4452
PR;41;27106;Telêmaco Borba;80588
SE;28;7303;Telha;3271
RN;24;14100;Tenente Ananias;10923
RN;24;14159;Tenente Laurentino Cruz;6085
RS;43;21402;Tenente Portela;13385
PB;25;16755;Tenório;3103
BA;29;31400;Teodoro Sampaio;7296
SP;35;54300;Teodoro Sampaio;23395
BA;29;31509;Teofilândia;22590
MG;31;68606;Teófilo Otoni;141269
BA;29;31608;Teolândia;15097
AL;27;9152;Teotônio Vilela;44570
MS;50;8008;Terenos;22721
PI;22;11001;Teresina;871126
GO;52;21080;Teresina de Goiás;3538
RJ;33;5802;Teresópolis;185820
PE;26;15102;Terezinha;7227
GO;52;21197;Terezópolis de Goiás;8326
PA;15;7961;Terra Alta;11971
PR;41;27205;Terra Boa;17304
RS;43;21436;Terra de Areia;11323
BA;29;31707;Terra Nova;13018
PE;26;15201;Terra Nova;10314
MT;51;8055;Terra Nova do Norte;9284
PR;41;27304;Terra Rica;17054
PR;41;27403;Terra Roxa;17562
SP;35;54409;Terra Roxa;9502
PA;15;7979;Terra Santa;19063
MT;51;8105;Tesouro;3761
RS;43;21451;Teutônia;34275
RO;11;1609;Theobroma;10348
CE;23;13401;Tianguá;77111
PR;41;27502;Tibagi;20688
RN;24;11056;Tibau;4173
RN;24;14209;Tibau do Sul;14694
SP;35;54508;Tietê;42946
SC;42;17956;Tigrinhos;1606
SC;42;18004;Tijucas;39889
PR;41;27601;Tijucas do Sul;17295
PE;26;15300;Timbaúba;52587
RN;24;14308;Timbaúba dos Batistas;2427
SC;42;18103;Timbé do Sul;5338
MA;21;12100;Timbiras;29241
SC;42;18202;Timbó;45703
SC;42;18251;Timbó Grande;8003
SP;35;54607;Timburi;2647
MA;21;12209;Timon;171317
MG;31;68705;Timóteo;91268
RS;43;21469;Tio Hugo;3078
MG;31;68804;Tiradentes;8160
RS;43;21477;Tiradentes do Sul;5532
MG;31;68903;Tiros;6369
SE;28;7402;Tobias Barreto;52861
TO;17;21109;Tocantínia;7688
TO;17;21208;Tocantinópolis;22820
MG;31;69000;Tocantins;16769
MG;31;69059;Tocos do Moji;4117
MG;31;69109;Toledo;6336
PR;41;27700;Toledo;144601
SE;28;7501;Tomar do Geru;13534
PR;41;27809;Tomazina;7699
MG;31;69208;Tombos;7683
PA;15;8001;Tomé-Açu;64604
AM;13;4237;Tonantins;19038
PE;26;15409;Toritama;47088
MT;51;8204;Torixoréu;3487
RS;43;21493;Toropi;2753
SP;35;54656;Torre de Pedra;2432
RS;43;21501;Torres;39381
SP;35;54706;Torrinha;10100
RN;24;14407;Touros;33716
SP;35;54755;Trabiju;1752
PA;15;8035;Tracuateua;31549
PE;26;15508;Tracunhaém;13856
AL;27;9202;Traipu;27934
PA;15;8050;Trairão;19344
CE;23;13500;Trairi;56653
RJ;33;5901;Trajano de Moraes;10653
RS;43;21600;Tramandaí;53507
RS;43;21626;Travesseiro;2331
BA;29;31806;Tremedal;15996
SP;35;54805;Tremembé;48228
RS;43;21634;Três Arroios;2620
SC;42;18301;Três Barras;19455
PR;41;27858;Três Barras do Paraná;12036
RS;43;21667;Três Cachoeiras;11174
MG;31;69307;Três Corações;80561
RS;43;21709;Três Coroas;28948
RS;43;21808;Três de Maio;23846
RS;43;21832;Três Forquilhas;2643
SP;35;54904;Três Fronteiras;5856
MS;50;8305;Três Lagoas;125137
MG;31;69356;Três Marias;33062
RS;43;21857;Três Palmeiras;4232
RS;43;21907;Três Passos;23799
MG;31;69406;Três Pontas;57127
GO;52;21304;Três Ranchos;2830
RJ;33;6008;Três Rios;82468
SC;42;18350;Treviso;4002
SC;42;18400;Treze de Maio;7104
SC;42;18509;Treze Tílias;8138
GO;52;21403;Trindade;132006
PE;26;15607;Trindade;31103
RS;43;21956;Trindade do Sul;5781
PB;25;16805;Triunfo;9473
PE;26;15706;Triunfo;15232
RS;43;22004;Triunfo;30159
RN;24;14456;Triunfo Potiguar;3195
MA;21;12233;Trizidela do Vale;22223
GO;52;21452;Trombas;3497
SC;42;18608;Trombudo Central;7506
SC;42;18707;Tubarão;107143
BA;29;31905;Tucano;50903
PA;15;8084;Tucumã;40661
RS;43;22103;Tucunduva;5612
PA;15;8100;Tucuruí;116605
MA;21;12274;Tufilândia;5868
SP;35;54953;Tuiuti;7058
MG;31;69505;Tumiritinga;6797
SC;42;18756;Tunápolis;4507
RS;43;22152;Tunas;4585
PR;41;27882;Tunas do Paraná;9269
PR;41;27908;Tuneiras do Oeste;8502
MA;21;12308;Tuntum;42242
SP;35;55000;Tupã;65615
MG;31;69604;Tupaciguara;25466
PE;26;15805;Tupanatinga;27793
RS;43;22186;Tupanci do Sul;1447
RS;43;22202;Tupanciretã;24182
RS;43;22251;Tupandi;5019
RS;43;22301;Tuparendi;7730
PE;26;15904;Tuparetama;8266
PR;41;27957;Tupãssi;8105
SP;35;55109;Tupi Paulista;15670
TO;17;21257;Tupirama;1952
TO;17;21307;Tupiratins;2785
MA;21;12407;Turiaçu;35811
MA;21;12456;Turilândia;26112
SP;35;55208;Turiúba;2024
MG;31;69703;Turmalina;20280
SP;35;55307;Turmalina;1667
RS;43;22327;Turuçu;3408
CE;23;13559;Tururu;16588
GO;52;21502;Turvânia;4526
GO;52;21551;Turvelândia;5447
PR;41;27965;Turvo;12977
SC;42;18806;Turvo;13080
MG;31;69802;Turvolândia;5099
MA;21;12506;Tutóia;59927
AM;13;4260;Uarini;13839
BA;29;32002;Uauá;23991
MG;31;69901;Ubá;117995
MG;31;70008;Ubaí;12661
BA;29;32101;Ubaíra;19860
BA;29;32200;Ubaitaba;18647
CE;23;13609;Ubajara;35295
MG;31;70057;Ubaporanga;12514
SP;35;55356;Ubarana;6488
BA;29;32309;Ubatã;27481
SP;35;55406;Ubatuba;92819
MG;31;70107;Uberaba;340277
MG;31;70206;Uberlândia;706597
SP;35;55505;Ubirajara;4828
PR;41;28005;Ubiratã;20809
RS;43;22343;Ubiretama;1952
SP;35;55604;Uchoa;10191
BA;29;32408;Uibaí;13894
RR;14;704;Uiramutã;11014
GO;52;21577;Uirapuru;2829
PB;25;16904;Uiraúna;15356
PA;15;8126;Ulianópolis;62286
CE;23;13708;Umari;7740
RN;24;14506;Umarizal;10485
SE;28;7600;Umbaúba;25800
BA;29;32457;Umburanas;19573
MG;31;70305;Umburatiba;2582
PB;25;17001;Umbuzeiro;9914
CE;23;13757;Umirim;19976
PR;41;28104;Umuarama;113416
BA;29;32507;Una;18108
MG;31;70404;Unaí;85461
PI;22;11100;União;44649
RS;43;22350;União da Serra;1084
PR;41;28203;União da Vitória;58298
MG;31;70438;União de Minas;4265
SC;42;18855;União do Oeste;2364
MT;51;8303;União do Sul;3455
AL;27;9301;União dos Palmares;65963
SP;35;55703;União Paulista;1886
PR;41;28302;Uniflor;2623
RS;43;22376;Unistalda;2306
RN;24;14605;Upanema;14937
PR;41;28401;Uraí;11233
BA;29;32606;Urandi;16672
SP;35;55802;Urânia;9125
MA;21;12605;Urbano Santos;33791
SP;35;55901;Uru;1142
GO;52;21601;Uruaçu;41150
GO;52;21700;Uruana;13795
MG;31;70479;Uruana de Minas;3256
PA;15;8159;Uruará;45395
SC;42;18905;Urubici;11311
CE;23;13807;Uruburetama;22223
MG;31;70503;Urucânia;10333
AM;13;4302;Urucará;16007
BA;29;32705;Uruçuca;20312
PI;22;11209;Uruçuí;21746
MG;31;70529;Urucuia;17470
AM;13;4401;Urucurituba;24098
RS;43;22400;Uruguaiana;126766
CE;23;13906;Uruoca;13988
RO;11;1708;Urupá;11081
SC;42;18954;Urupema;2453
SP;35;56008;Urupês;13965
SC;42;19002;Urussanga;21419
GO;52;21809;Urutaí;3056
BA;29;32804;Utinga;19330
RS;43;22509;Vacaria;66916
MT;51;8352;Vale de São Domingos;3124
RO;11;1757;Vale do Anari;11545
RO;11;1807;Vale do Paraíso;6490
RS;43;22533;Vale do Sol;11873
RS;43;22541;Vale Real;6046
RS;43;22525;Vale Verde;3531
BA;29;32903;Valença;97873
RJ;33;6107;Valença;77202
PI;22;11308;Valença do Piauí;20940
BA;29;33000;Valente;29111
SP;35;56107;Valentim Gentil;13732
SP;35;56206;Valinhos;133169
SP;35;56305;Valparaíso;27154
GO;52;21858;Valparaíso de Goiás;175720
RS;43;22558;Vanini;2130
SC;42;19101;Vargeão;3569
SC;42;19150;Vargem;2387
SP;35;56354;Vargem;10842
MG;31;70578;Vargem Alegre;6460
ES;32;5036;Vargem Alta;21778
MG;31;70602;Vargem Bonita;2143
SC;42;19176;Vargem Bonita;4411
MA;21;12704;Vargem Grande;57813
MG;31;70651;Vargem Grande do Rio Pardo;5045
SP;35;56404;Vargem Grande do Sul;43368
SP;35;56453;Vargem Grande Paulista;54315
MG;31;70701;Varginha;137608
GO;52;21908;Varjão;3848
MG;31;70750;Varjão de Minas;7235
CE;23;13955;Varjota;18520
RJ;33;6156;Varre-Sai;11208
PB;25;17100;Várzea;2870
RN;24;14704;Várzea;5529
CE;23;14003;Várzea Alegre;41078
PI;22;11357;Várzea Branca;4930
MG;31;70800;Várzea da Palma;40101
BA;29;33059;Várzea da Roça;14135
BA;29;33109;Várzea do Poço;9247
MT;51;8402;Várzea Grande;290383
PI;22;11407;Várzea Grande;4382
BA;29;33158;Várzea Nova;12556
SP;35;56503;Várzea Paulista;124269
BA;29;33174;Varzedo;8734
MG;31;70909;Varzelândia;19290
RJ;33;6206;Vassouras;37262
MG;31;71006;Vazante;20692
RS;43;22608;Venâncio Aires;72373
ES;32;5069;Venda Nova do Imigrante;26204
RN;24;14753;Venha-Ver;4232
PR;41;28534;Ventania;12267
PE;26;16001;Venturosa;18835
MT;51;8501;Vera;11731
BA;29;33208;Vera Cruz;44185
RN;24;14803;Vera Cruz;12789
RS;43;22707;Vera Cruz;27325
SP;35;56602;Vera Cruz;10804
PR;41;28559;Vera Cruz do Oeste;8389
PI;22;11506;Vera Mendes;3082
RS;43;22806;Veranópolis;26813
PE;26;16100;Verdejante;9572
MG;31;71030;Verdelândia;9527
PR;41;28609;Verê;7094
BA;29;33257;Vereda;6105
MG;31;71071;Veredinha;5733
MG;31;71105;Veríssimo;4090
MG;31;71154;Vermelho Novo;4852
PE;26;16183;Vertente do Lério;7526
PE;26;16209;Vertentes;21172
MG;31;71204;Vespasiano;131849
RS;43;22855;Vespasiano Corrêa;1776
RS;43;22905;Viadutos;4628
RS;43;23002;Viamão;257330
ES;32;5101;Viana;80735
MA;21;12803;Viana;52852
GO;52;22005;Vianópolis;14088
PE;26;16308;Vicência;32897
RS;43;23101;Vicente Dutra;4530
MS;50;8404;Vicentina;6115
GO;52;22054;Vicentinópolis;9002
AL;27;9400;Viçosa;25655
MG;31;71303;Viçosa;79910
RN;24;14902;Viçosa;1731
CE;23;14102;Viçosa do Ceará;61916
RS;43;23200;Victor Graeff;2840
SC;42;19200;Vidal Ramos;6321
SC;42;19309;Videira;54145
MG;31;71402;Vieiras;3570
PB;25;17209;Vieirópolis;5395
PA;15;8209;Vigia;54650
MT;51;5507;Vila Bela da Santíssima Trindade;16412
GO;52;22203;Vila Boa;6451
RN;24;15008;Vila Flor;3217
RS;43;23309;Vila Flores;3407
RS;43;23358;Vila Lângaro;2070
RS;43;23408;Vila Maria;4368
PI;22;11605;Vila Nova do Piauí;2935
RS;43;23457;Vila Nova do Sul;4274
MA;21;12852;Vila Nova dos Martírios;13800
ES;32;5150;Vila Pavão;9280
GO;52;22302;Vila Propício;5941
MT;51;8600;Vila Rica;26946
ES;32;5176;Vila Valério;14065
ES;32;5200;Vila Velha;508655
RO;11;304;Vilhena;104517
SP;35;56701;Vinhedo;81516
SP;35;56800;Viradouro;19133
MG;31;71600;Virgem da Lapa;13729
MG;31;71709;Virgínia;8652
MG;31;71808;Virginópolis;10459
MG;31;71907;Virgolândia;5303
PR;41;28658;Virmond;4051
MG;31;72004;Visconde do Rio Branco;43351
PA;15;8308;Viseu;62093
RS;43;23507;Vista Alegre;2726
SP;35;56909;Vista Alegre do Alto;9163
RS;43;23606;Vista Alegre do Prata;1553
RS;43;23705;Vista Gaúcha;2858
PB;25;5501;Vista Serrana;3850
SC;42;19358;Vitor Meireles;4907
ES;32;5309;Vitória;369534
SP;35;56958;Vitória Brasil;1852
BA;29;33307;Vitória da Conquista;343643
RS;43;23754;Vitória das Missões;3052
PE;26;16407;Vitória de Santo Antão;140389
AP;16;808;Vitória do Jari;16572
MA;21;12902;Vitória do Mearim;32956
PA;15;8357;Vitória do Xingu;15421
PR;41;28708;Vitorino;6879
MA;21;13009;Vitorino Freire;31520
MG;31;72103;Volta Grande;5270
RJ;33;6305;Volta Redonda;274925
SP;35;57006;Votorantim;124468
SP;35;57105;Votuporanga;96106
BA;29;33406;Wagner;9342
PI;22;11704;Wall Ferraz;4479
TO;17;22081;Wanderlândia;11783
BA;29;33455;Wanderley;12125
MG;31;72202;Wenceslau Braz;2543
PR;41;28500;Wenceslau Braz;19358
BA;29;33505;Wenceslau Guimarães;20862
RS;43;23770;Westfália;3046
SC;42;19408;Witmarsum;4032
TO;17;22107;Xambioá;11500
PR;41;28807;Xambrê;5584
RS;43;23804;Xangri-lá;17126
SC;42;19507;Xanxerê;52290
AC;12;708;Xapuri;19866
SC;42;19606;Xavantina;3873
SC;42;19705;Xaxim;29254
PE;26;16506;Xexéu;14789
PA;15;8407;Xinguara;45416
BA;29;33604;Xique-Xique;46562
PB;25;17407;Zabelê;2269
SP;35;57154;Zacarias;2784
MA;21;14007;Zé Doca;52190
SC;42;19853;Zortéa;3432
